gvkey,tic,conm,startdate,avg_price,avg_volume
016798,GHY,PGIM GLOBAL HI YIELD FND INC,2012-12-21T00:00:00Z,15.1626532398453,161989.852514507
017171,ZSEV,Z-SEVEN FUND INC,1983-12-30T00:00:00Z,6.97615968853844,2530.73411694688
017230,FLAG,FLAG-FORENSIC ACC LONG-SHORT,2013-01-31T00:00:00Z,34.7371356709001,2841.22970734401
017339,FPE,FIRST TRUST PFD SECS & INCM,2013-02-12T00:00:00Z,19.2250050639135,714937.254178958
017382,LGLV,SPDR SSGA US LG CP LW VOL,2013-02-21T00:00:00Z,86.2289365877711,25387.3969428008
017423,HYLS,FIRST TR TACTICAL HI YLD ETF,2013-02-27T00:00:00Z,48.8857091897233,153621.099802372
017437,HVPW,ALPS U S EQUITY HI VLTY PUT,2013-02-28T00:00:00Z,22.5617510560147,21888.6584022039
017439,PEX,PROSHARES GLBL LISTD PRIV EQ,2013-02-28T00:00:00Z,37.521982797825,2472.58378645576
017489,DIV,GLOBAL X SUPERDIVIDEND U S,2013-03-12T00:00:00Z,24.161503573201,109800.467990074
017604,BOI,BROOKFIELD MORTGAGE OPP INCM,2013-03-26T00:00:00Z,16.2022017167382,84493.6298283262
017605,ETX,EATON VANCE MUNI INC 2028 TR,2013-03-26T00:00:00Z,19.1138725685785,32819.8364089776
017606,MIE,COHEN & STEERS INCM & EN,2013-03-26T00:00:00Z,11.6591983042394,154968.29127182
017662,NGE,GLOBAL X MSCI NIGERIA ETF,2013-04-03T00:00:00Z,28.58536935,18219.07125
017681,ASDR,ALPS ETF VLCTYSHRS EMG ASIA,2013-04-08T00:00:00Z,55.6479293689319,1231.68689320388
017787,IBCB,ISHARES IBOND MAR 2016 CP EX,2013-04-19T00:00:00Z,99.7410859649125,1318.21052631579
017788,IBCC,ISHARES IBDS MAR 2018 TRM CP,2013-04-19T00:00:00Z,24.7128239886731,14772.8818770227
017790,IBCD,ISHARES IBDS MAR 2020 TRM CP,2013-04-19T00:00:00Z,24.5516326901086,8695.0057208238
017872,KORZ,DIREXION DAILY S KOREA BR 3X,2013-05-01T00:00:00Z,29.6119271954674,719.705382436261
018185,PGHY,INVESCO GLOBAL ST HY BD ETF,2013-06-20T00:00:00Z,23.5055469922879,41678.8745501285
018310,IBDD,ISHARES IBONDS MAR 2023 TRM,2013-07-12T00:00:00Z,26.3407777720207,7529.16424870466
018357,BSCL,INVESCO BULLETSHARS 2021 ETF,2013-07-17T00:00:00Z,20.9723027503892,193258.918526207
018359,BSCM,INVESCO BULTSHRS 2022 CP ETF,2013-07-17T00:00:00Z,20.9976045666839,184548.954852102
018373,QUAL,ISHARES MSCI USA QUALITY FAC,2013-07-18T00:00:00Z,76.496190290758,573199.266874351
018399,KFYP,KRANESHARES CICC CHN LDS 100,2013-07-23T00:00:00Z,30.8219628445138,3160.99635985439
018428,KIO,KKR INCOME OPPORTUNITIES FD,2013-07-26T00:00:00Z,15.8432803645833,86782.0994791667
018485,NASH,NASHVILLE AREA ETF,2013-08-01T00:00:00Z,27.8534637160386,2848.00613496933
018508,CMDT,ISHARES COMMDTY OPTIMIZED TR,2013-08-09T00:00:00Z,40.2665682271681,4162.01534919417
018588,ISIS.,INDEPENDENCE SQUARE INCOME,1983-12-30T00:00:00Z,16.3288126511853,2512.38993710692
018821,HAUZ,XTRACKERS INTERNATINL RE ETF,2013-10-01T00:00:00Z,26.0828600320171,19052.3041622199
018886,RIGS,ALPS RIVERFRONT STRAT INC FD,2013-10-09T00:00:00Z,24.8144029978587,68157.2521413276
018902,NFRA,FLEXSHRS STOXX GLBL BRD INFS,2013-10-09T00:00:00Z,46.586400267666,60382.8019271949
018903,CHNA.1,POWERSHARES CHINA A-SHARE PF,2013-10-10T00:00:00Z,30.272873208469,4863.01302931596
018904,NOBL,PROSHARES S&P 500 DIV ARISTO,2013-10-10T00:00:00Z,58.7045389394751,368475.863952866
018998,FTGC,FIRST TR GLOBAL TACTICAL CMD,2013-10-23T00:00:00Z,21.786440204521,118143.047900969
019006,FHLC,FIDELITY MSCI HEALTH CARE,2013-10-24T00:00:00Z,39.2108946688207,186391.418955304
019007,FIDU,FIDELITY MSCI INDUSTRIALS,2013-10-24T00:00:00Z,33.8908261173937,97218.2600969305
019108,DXKW,WISDOMTREE KOREA HDGD EQ FD,2013-11-07T00:00:00Z,21.535529009434,8973.93632075472
019351,QYLD,GLOBAL X NASDAQ-100 COV CAL,2013-12-12T00:00:00Z,23.2473860669226,185636.203510697
019368,USDU,WISDOMTREE BLMBRG US DOLR BU,2013-12-18T00:00:00Z,26.7792534359538,86474.7855964816
019369,AGND,WISDOMTREE NEGAT DURATION US,2013-12-18T00:00:00Z,43.7538524074074,7164.46296296296
019408,IBTE,ISHARES IBND DEC 2024 TR ETF,2020-02-27T00:00:00Z,25.9007351145038,3440.33969465649
019489,RDVY,FIRST TR RISING DIV ACHV,2014-01-07T00:00:00Z,26.8945869950194,127919.991698949
019499,IEMF,EGSHARES TCW INTM TM INV GRD,2014-01-08T00:00:00Z,20.3448426229508,132.79781420765
019500,LEMF,EGSHARES TCW EM LG TM INV GR,2014-01-08T00:00:00Z,20.550381420765,747.010928961749
019503,SYE,SPDR MFS SYSTEMATIC CORE EQU,2014-01-09T00:00:00Z,69.8264220221607,2217.24764542936
019520,SHYD,VANECK VECTORS SHORT HIGH YI,2014-01-14T00:00:00Z,24.6885830743618,44239.9284128746
019542,HOLD,ADVISORSHARES SAGE CORE RSRV,2014-01-15T00:00:00Z,99.3187003886728,3024.93392559689
019636,VUSE,ETF SERIES VIDENT CORE US EQ,2014-01-22T00:00:00Z,29.1117718976071,43895.5164162493
019683,ZMLP,DIREXION ZACKS MLP HIGH INCM,2014-01-23T00:00:00Z,160.919657159693,4677.50964938126
019745,FV,FIRST TR DORSEY WRIT FOCUS 5,2014-03-06T00:00:00Z,26.7477754951895,696286.160724392
019780,GLDE,ADVISORSHARES INTL GOLD ETF,2014-02-12T00:00:00Z,12.6655183333333,4239.88333333333
019866,EQLT,ALPS WORKPLACE EQUALITY PRTF,2014-02-25T00:00:00Z,30.7984982334869,1642.60061443932
019944,AIRR,FIRST TR AM INDL RENAISSANCE,2014-03-11T00:00:00Z,23.0405316893424,35187.7641723356
019945,DDIV,FIRST TRUST DRSY WRHT MTM,2014-03-11T00:00:00Z,22.8509475056689,8009.1462585034
020070,JMLP,NUVEEN ALL CAP ENERGY MLP OP,2014-03-27T00:00:00Z,9.79555354586859,76297.8119713728
020098,EDOG,ALPS EMERG SECTOR DIV DOGS,2014-03-28T00:00:00Z,22.5166098800685,8649.74700171331
020165,DXJH,WISDOMTREE JPN HDGD HLTHCR,2014-04-08T00:00:00Z,31.5817958710977,5166.74320241692
020166,DXJT,WISDOMTREE JPN HDGD TECH MED,2014-04-08T00:00:00Z,26.4104032214765,1229.96510067114
020190,GF,NEW GERMANY FUND INC,1990-01-25T00:00:00Z,12.9506017221584,61365.8947569843
020206,IMF.1,SMITH BARNEY DISCIPLINED FD,1990-01-18T00:00:00Z,10.1150416,8862.24
020334,BCHP,EGSHARES BLUE CHIP ETF,2014-04-23T00:00:00Z,19.2644085492228,3554.64507772021
020608,FMB,FIRST TRUST MANAGED MUNI ETF,2014-05-15T00:00:00Z,53.1450373690338,67066.4231664726
020717,IBDH,ISHARES IBONDS DEC 2018 TRM,2014-05-29T00:00:00Z,25.1538285714285,37895.7404181185
020766,SMEZ,SPDR EURO STOXX SMALL CP ETF,2014-06-05T00:00:00Z,55.3069737676056,4453.71068075117
020770,NEF,SCUDDER NEW EUROPE FUND INC,1990-02-09T00:00:00Z,12.229048053024,51050.57995029
020856,QAUS,SPDR MSCI AUS STRATEGICFACTR,2014-06-12T00:00:00Z,50.4428029299363,2141.28789808917
020857,ZCAN,SPDR SOLACTIVE CANADA ETF,2014-06-12T00:00:00Z,56.1178152442613,2544.79576221307
020974,DSE,DUFF & PHELPS SELECT MLP AND,2014-06-26T00:00:00Z,68.4237704085257,17381.5239786856
021070,HEZU,ISHARES CURR HDG MSCI EUROZN,2014-07-10T00:00:00Z,28.0252,821949.675595238
021072,MAUI,ADVISORSHRS MKT ADPTV UNCNST,2014-07-09T00:00:00Z,23.8734690763052,1606.48326639893
021148,GTF.1,AIM EASTERN EUROPE FUND,1990-03-23T00:00:00Z,11.6499270746018,41148.5750209556
021168,DRE.NX,DRESDNER RCM EUROPE FD INC,1990-03-29T00:00:00Z,8.85936054124836,47291.270187691
021169,IRL,NEW IRELAND FUND INC,1990-03-30T00:00:00Z,12.8232399923017,16770.041442135
021212,CNXT,VANECK VECTORS CHINAAMC SME,2014-07-24T00:00:00Z,33.3990192215569,31243.0191616767
021242,SYTL,DIREXION DLY 7-10YR TR BU 2X,2014-07-29T00:00:00Z,43.0661093247589,2070.42765273312
021588,WBIE,WBI BULLBEAR RISNG INCM 3000,2014-08-27T00:00:00Z,25.2539465978129,14039.7156743621
021589,WBIF,WBI BULLBEAR VALUE 3000 ETF,2014-08-27T00:00:00Z,25.8685346597813,12923.5668286756
021790,QTWN,SPDR MSCI TAIWAN STRATEGICFA,2014-09-18T00:00:00Z,56.2063355045872,115.877064220184
021863,ARKW,ARK WEB X.0 ETF,2014-09-30T00:00:00Z,48.4088866913124,215075.410351202
021889,FUTS.1,PROSHARES MGD FUTURES STRATG,2014-10-02T00:00:00Z,20.7976625,5772.5597826087
021930,FCOR,FIDELITY CORPORATE BOND ETF,2014-10-09T00:00:00Z,50.8444629950494,17441.6181930693
021932,FBND,FIDELITY TOTAL BOND ETF,2014-10-09T00:00:00Z,50.5428932549506,88938.6379950495
021935,ALTS,PROSHRS MRNGSTR ALT SOLUTION,2014-10-09T00:00:00Z,37.8824045201238,4129.69411764706
021955,AEF.2,ALLIANCE GLOBAL ENVIRON FD,1990-05-23T00:00:00Z,11.0156333333333,23104.623655914
021971,TF.1,THAI CAPITAL FUND INC,1990-05-23T00:00:00Z,13.8991364339753,11373.9413686382
022315,LOWC,SPDR MSCI ACWI LOW CARBON,2014-11-26T00:00:00Z,85.1707865992415,3772.37294563843
022347,KCNY,KRANESHARES E FD CHINA COMML,2014-12-03T00:00:00Z,33.8445725602028,8406.70278833967
022399,GAA,CAMBRIA GLBL ASST ALLOCATION,2014-12-10T00:00:00Z,25.9163368722187,9525.90527654164
022482,BBP,VIRTUS LIFESCI BIOT PROD ETF,2014-12-17T00:00:00Z,38.3001859693878,7793.36288265306
022483,BBC,VIRTUS LISCI BIOTC CLCAL ETF,2014-12-17T00:00:00Z,29.974766262755,17952.3928571429
022488,IVAL,ALPHA ARCHI INTL QNT VAL ETF,2014-12-17T00:00:00Z,27.1907480229592,12327.887755102
022627,EQAL,POWERSHARES RUSS 1000 EQ WT,2014-12-23T00:00:00Z,29.4042260869565,66453.8203324808
022788,HIPS,GRNTSHRS HIPS US HGH INC ETF,2015-01-07T00:00:00Z,16.526858778135,6341.88745980707
022795,LLDM,DIREXION DEV MKTS BULL 1.25X,2015-01-07T00:00:00Z,27.0474180586907,411.038374717833
022796,PPSC,PORTFOLIOPLUS S&P SMALL CAP,2015-01-07T00:00:00Z,31.4505564191533,1033.28105482304
022834,SGF,ABERDEEN SINGAPORE FUND INC,1990-07-25T00:00:00Z,11.0296757326662,25814.6348820586
023007,FREL,FIDELITY MSCI R E INDEX ETF,2015-02-05T00:00:00Z,24.2180017589577,225728.909446254
023014,SPYB,SPDR S&P 500 BUYBACK ETF,2015-02-05T00:00:00Z,57.2083295216741,3635.81988041854
023048,MXE,MEXICO EQUITY & INCOME FUND,1990-08-15T00:00:00Z,12.9599176776205,23718.7521756072
023124,BDJ.2,AMERN ADJ RT TRM TR INC 1996,1990-09-21T00:00:00Z,9.54778439259855,25355.8326629123
023156,TOTL,SPDR DOUBLELINE TOT RET TACT,2015-02-24T00:00:00Z,48.8732275771504,374160.582403152
023190,ESEB,XTRACKERS J.P. MORGAN ESG EM,2015-03-03T00:00:00Z,23.8235800395257,3261.41963109354
023299,IBDJ,ISHARES IBONDS DEC 2017 TRM,2015-03-12T00:00:00Z,24.8763044349071,25255.539341917
023317,IBDK,ISHARES IBONDS DEC 2019 TRM,2015-03-12T00:00:00Z,24.9011637177352,87703.8509575354
023351,SDEM,GLOBAL X MSCI SUPERDIV EMERG,2015-03-17T00:00:00Z,13.8351368037135,10518.3839522546
023352,SRET,GLOBAL X SUPERDIV REIT ETF,2015-03-17T00:00:00Z,13.5357387267905,155280.045755968
023548,UK.2,RECON CAPITAL FTSE 100 ETF,2015-04-29T00:00:00Z,22.7845566210046,1018.48858447489
023696,PAK,GLOBAL X MSCI PAKISTAN ETF,2015-04-23T00:00:00Z,46.1507489878544,9403.91582321188
023746,ACTX.1,GLOBAL X GURU ACTIVIST ETF,2015-04-29T00:00:00Z,13.8823633711507,1201.7698541329
023766,JETS,U S GLOBAL JETS ETF,2015-04-30T00:00:00Z,26.467567704807,974406.45971564
023803,NQS,NUVEEN SELECT QUAL MUN FD,1991-04-01T00:00:00Z,14.5614026521061,50540.7510140406
023888,DHVW,DIAMOND HILL VAL-WGHTD 500,2015-05-12T00:00:00Z,27.8536326883911,7037.61710794297
023941,9673B,BLACKROCK 1998 TERM TR INC,1991-04-24T00:00:00Z,9.55120191809228,102901.140487299
023954,SCID,GLOBAL X SCIENTIFIC BETA EUR,2015-05-13T00:00:00Z,24.7201642105263,1359.56015037594
023998,VXDN,ACCUSHARES SPOT CBOE VIX DWN,2015-05-19T00:00:00Z,2324.38327818763,926.440496691239
024124,LABD,DIREXION DLY S&P BIOTEC BE3X,2015-05-28T00:00:00Z,2511.00359458162,256231.626409465
024206,DXUS,WISDOMTREE GLB EX-US HDG DIV,2015-06-04T00:00:00Z,23.8199413105413,1881.5113960114
024380,HEGE,DIREXION DLY MSCI EUR CURR2X,2015-06-10T00:00:00Z,33.89541875,778.433333333333
024549,EGIF,EAGLE GROWTH AND INCOME OPPY,2015-06-19T00:00:00Z,15.8721061430793,24316.4054474708
024624,MSF,MORGAN STAN EMERGING MKTS FD,1991-10-25T00:00:00Z,15.9246815843023,42713.3213662791
024682,VNM.1,VAN KAMPEN NY QUALITY MUN TR,1991-11-27T00:00:00Z,15.4331964387464,7012.96296296296
024705,NUC,NUVEEN CA QLTY INCM MUN FD,1991-11-20T00:00:00Z,15.0431893058491,26640.6657857646
024745,UBIO,PROSHARES ULTRAPRO NASDQ BIO,2015-06-23T00:00:00Z,33.4771247500001,99514.859
024780,HBZ,PROSHRS ULTRASH HOMEBLDS SUP,2015-06-23T00:00:00Z,18.7781637583893,1443.30872483221
024805,ASP,AMERN STRATEGIC INCM PTF INC,1991-12-20T00:00:00Z,11.868448976915,10172.8508219657
024806,BNA,BLACKROCK INCOME OPP TR,1991-12-20T00:00:00Z,10.4708646252602,73133.3353573907
024818,NPF,NUVEEN PREMIER MUN INCM FD,1991-12-26T00:00:00Z,14.1532643661518,29995.6560489061
024824,HGEU,PROSHARES HDGD FTSE EURO ETF,2015-06-25T00:00:00Z,37.6623396396396,3336.59279279279
024866,SGL,STRATEGIC GLOBAL INCM FD INC,1992-01-24T00:00:00Z,11.3760846072187,45935.1832435081
024939,VGM,INVESCO TRUST FOR INV GR MUN,1992-02-19T00:00:00Z,14.3827986885246,80991.2647540984
024964,HEWC,ISHARES CURR HDGD MSCI CDA,2015-07-01T00:00:00Z,25.0772119246862,5791.14504881451
024973,HEWU,ISHARES CURR HDGD MSCI U.K.,2015-07-01T00:00:00Z,22.9590400976291,20735.3319386332
025034,PPR,VOYA PRIME RATE TRUST,1992-03-13T00:00:00Z,6.9622199691781,374815.464109589
025040,MYF,BLACKROCK MUNIYIELD INV FUND,1992-03-16T00:00:00Z,14.1152463899164,22686.9198520345
025041,MYM,BLACKROCK MUNIYLD MI QLTY II,1992-03-16T00:00:00Z,13.5876558654496,15801.9376267749
025050,PUTX,ALPS ENH PUT WRITE STGY ETF,2015-07-07T00:00:00Z,24.5746613821138,1509.59756097561
025057,CIBR,FIRST TR NASDAQ CYBRSECURITY,2015-07-07T00:00:00Z,25.3840889587701,208349.255066387
025060,CDL,VICTORYSHRS US LG CP HI DIV,2015-07-08T00:00:00Z,42.266713076923,22631.1902097902
025156,KLEM,GAVEKAL KNWLDG LDRS EMRG MKT,2015-07-08T00:00:00Z,23.2715569306931,1960.31188118812
025176,MNB,MINNESOTA MUN TERM TR INC II,1992-04-20T00:00:00Z,10.2981531351939,2516.31025733962
025177,AGGY,WISDOMTREE YIELD EN US AG BD,2015-07-09T00:00:00Z,50.7740260671799,94335.8586424073
025189,VMN,DELAWARE INV MIN MUN INCM,1992-04-27T00:00:00Z,15.0304826068253,2637.91224548322
025193,BQT,BLACKROCK INVT QLTY TERM TR,1992-04-23T00:00:00Z,8.6638660910518,62005.8671899529
025290,MYJ,BLACKROCK MUNIYLD NJ FD INC,1992-05-18T00:00:00Z,14.5458394461283,20866.0453292918
025310,BIGD,ETF MGRS PUREFDS ISE BIGDATA,2015-07-16T00:00:00Z,23.7626277669903,910.198058252427
025329,VMO,INVESCO MUNICIPAL OPPTY TR,1992-06-03T00:00:00Z,14.0295088795364,74682.9939285222
025337,VIC,VAN KAMPEN TR INVT GRADE CA,1992-06-03T00:00:00Z,15.5715176364184,5939.19837202291
025408,HFXE,IQ 50 PERCENT HDGD FTSE EUR,2015-07-22T00:00:00Z,18.7737522047244,22745.4606299213
025412,LDF,LATIN AMERICAN DISCOVERY FD,1992-06-24T00:00:00Z,14.7448556073362,27393.2056524354
025565,MIC.1,MUNIYIELD CALIF INSD FD INC,1992-07-20T00:00:00Z,13.8395214048212,22327.0573566085
025566,MYT.1,MUNIYIELD N Y INSD FD II INC,1992-07-20T00:00:00Z,13.8009465490399,22945.2516865594
025593,NPM,NUVEEN PREM INCOME MUN FD 2,1992-07-24T00:00:00Z,14.0643561112025,84394.0718868235
025594,NXR,NUVEEN SLCT TX FR INCM PTL 3,1992-07-24T00:00:00Z,14.0124671612814,17846.0852863681
025595,PGD.2,HANCOCK J PATRIOT GLOBAL DEV,1992-07-24T00:00:00Z,12.5673806891026,13850.342948718
025733,BFC.3,BLACKROCK CA INSD MUN 2008,1992-09-18T00:00:00Z,15.1792216678894,12475.5399853265
025734,BRF.1,BLACKROCK FLA INSD MUN,1992-09-18T00:00:00Z,15.0437561017364,10210.582538518
025735,BRM,BLACKROCK INSD MUN 2008 TRM,1992-09-18T00:00:00Z,15.1847529958425,39854.0567375887
025736,BLN.2,BLACKROCK N Y INSD MUN 2008,1992-09-18T00:00:00Z,15.2206793348006,13501.4010760577
025810,OASI,O'SHARES FTSE ASIA PAC QLTY,2015-08-19T00:00:00Z,27.0160129453682,2227.26959619953
025812,DBSP,DEUTSCHE X-TRKR MSCI SPN HDG,2015-08-19T00:00:00Z,21.0806317351598,169.890410958904
025824,JPNH,DTSCHE X-TRKRS JPN JPX-NK400,2015-08-19T00:00:00Z,21.6707780821918,86.2968036529681
025825,CRAK,VANECK VECTORS OIL REFINERS,2015-08-19T00:00:00Z,24.8681331428571,12316.6935714286
025865,EMD.1,WESTERN ASST EMG MKT IN -OLD,1992-10-23T00:00:00Z,14.9980386329866,10134.2374938088
025883,PPM.1,INVESTMENT GRADE MUN INCM FD,1992-10-29T00:00:00Z,14.0324869673617,17046.7747053491
025907,MJI,BLACKROCK MUNIYLD NJ QLTY FD,1992-11-04T00:00:00Z,14.4581840768277,11769.1918923703
025908,MCA,BLACKROCK MUNIYLD CA QLTY FD,1992-11-04T00:00:00Z,14.0618177335761,49368.6352430312
025909,MFT,BLACKROCK MUNIYLD INVST QLTY,1992-11-04T00:00:00Z,13.8010418475977,17100.5625437736
025912,MPA,BLACKROCK MUNIYLD PA QLTY FD,1992-11-04T00:00:00Z,14.2736618363916,16190.9654013167
025941,NAZ,NUVEEN ARIZ QTY MUN INCM,1992-11-19T00:00:00Z,14.3452218294052,10311.2965768799
025943,NPC,NUVEEN INSD CALIF PREM INCM,1992-11-19T00:00:00Z,14.4974709183674,7372.07959183674
026090,TRM.2,TCW/DW TERM TR 2002,1992-11-20T00:00:00Z,9.28983326763895,63141.269215609
